"TreeID","X","Y","Radius","Error","H","h_radius","dbh","Plot","Plot_ID","Plot_name","dbh_cm"
9,5.89160177569157,5.00013018611925,0.139745913093116,0.000396225610424937,24.180000297313,1.3,0.279491826186232,"Plot 2","9_Tree2_Hood",2,27.9491826186232
10,5.35836200079456,5.93624719695448,0.12134899535041,0.000312422294540313,24.1200008233768,1.3,0.242697990700819,"Plot 2","9_Tree2_Hood",2,24.2697990700819
11,4.92013248879795,-14.9497146709933,0.151302849541156,0.000573320489366179,23.2700004480784,1.3,0.302605699082311,"Plot 2","9_Tree2_Hood",2,30.2605699082311
12,4.17010983891173,-9.33778001493114,0.101212742182456,0.000278926188653673,23.700000755164,1.3,0.202425484364912,"Plot 2","9_Tree2_Hood",2,20.2425484364912
13,3.64376744843452,-5.78190705273211,0.110395637774991,0.00022699847324618,23.0300006770039,1.3,0.220791275549983,"Plot 2","9_Tree2_Hood",2,22.0791275549983
15,1.98921358553804,-15.2719119981969,0.141567036838335,0.000400352949255534,22.100000378014,1.3,0.28313407367667,"Plot 2","9_Tree2_Hood",2,28.313407367667
16,1.80192728048216,-11.6213463963447,0.0732681014384068,0.000268389387258312,24.2099990826211,1.3,0.146536202876814,"Plot 2","9_Tree2_Hood",2,14.6536202876814
17,-2.29102994214238,-4.10442932189122,0.122343632376641,0.000228322172569429,24.1399993698123,1.3,0.244687264753282,"Plot 2","9_Tree2_Hood",2,24.4687264753282
18,-5.36403888309909,5.35823347080391,0.0956653947708574,0.000496367986845849,23.7800006788555,1.3,0.191330789541715,"Plot 2","9_Tree2_Hood",2,19.1330789541715
19,0.296411958627234,4.70028447229581,0.0732732698597427,0.000370833347364196,23.6399993779079,1.3,0.146546539719485,"Plot 2","9_Tree2_Hood",2,14.6546539719485
20,0.226418631821854,3.24499418565489,0.145796987188266,0.000202420175603831,23.7800006788555,1.3,0.291593974376532,"Plot 2","9_Tree2_Hood",2,29.1593974376532
21,-2.40058683639685,5.28737628118708,0.137883579801396,0.000288314881425053,23.7900008897382,1.3,0.275767159602793,"Plot 2","9_Tree2_Hood",2,27.5767159602793
22,-1.30607534327299,-8.71627531484445,0.0771272648593804,0.000378067622682306,23.7199993015994,1.3,0.154254529718761,"Plot 2","9_Tree2_Hood",2,15.4254529718761
23,-8.82723180285063,4.91191474493364,0.151202014974444,0.000363020861989852,24.0900001347488,1.3,0.302404029948888,"Plot 2","9_Tree2_Hood",2,30.2404029948888
